presenter_name,presenter_institution,presentation_title,session_title,session_description
Marriott,Grand Ballroom A,NA,"Opportunity, Reflection, and Tactical Foresight: Mapping the Full Span of Your Career from Graduate School to Post-Retirement ",Our workshop offers long-term career planning in the field of composition studies.
Louise Wetherbee Phelps,Old Dominion University,NA,"Opportunity, Reflection, and Tactical Foresight: Mapping the Full Span of Your Career from Graduate School to Post-Retirement ",Our workshop offers long-term career planning in the field of composition studies.
Alice Horning,Oakland University,NA,"Opportunity, Reflection, and Tactical Foresight: Mapping the Full Span of Your Career from Graduate School to Post-Retirement ",Our workshop offers long-term career planning in the field of composition studies.
Kristine Blair,Bowling Green State University,NA,"Opportunity, Reflection, and Tactical Foresight: Mapping the Full Span of Your Career from Graduate School to Post-Retirement ",Our workshop offers long-term career planning in the field of composition studies.
Christine Tulley,University of Findlay,NA,"Opportunity, Reflection, and Tactical Foresight: Mapping the Full Span of Your Career from Graduate School to Post-Retirement ",Our workshop offers long-term career planning in the field of composition studies.
Marriott,Grand Ballroom B,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things ,"Theorize and make DIY crafts, plan public circulation of your work, and build and share assignments leveraging DIY."
Marilee Brooks-Gillies,University of Colorado at Colorado Springs,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things ,"Theorize and make DIY crafts, plan public circulation of your work, and build and share assignments leveraging DIY."
Frank Farmer,University of Kansas,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things ,"Theorize and make DIY crafts, plan public circulation of your work, and build and share assignments leveraging DIY."
Jason Luther,Syracuse University,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things ,"Theorize and make DIY crafts, plan public circulation of your work, and build and share assignments leveraging DIY."
Martha Webber,California State University Fullerton,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things ,"Theorize and make DIY crafts, plan public circulation of your work, and build and share assignments leveraging DIY."
Kristin Prins,University of Wisconsin-Milwaukee,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things ,"Theorize and make DIY crafts, plan public circulation of your work, and build and share assignments leveraging DIY."
Patrick Williams,Syracuse University,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things ,"Theorize and make DIY crafts, plan public circulation of your work, and build and share assignments leveraging DIY."
Chelsea Murdock,University of Kansas,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things ,"Theorize and make DIY crafts, plan public circulation of your work, and build and share assignments leveraging DIY."
