presenter_name,presenter_institution,presentation_title,session_title,session_description
GRB Room 351E,Level Three,NA,Plagiarism as an Educational Opportunity: ResearchBased Responding to Student Plagiarizing ,"This interactive, research-based workshop addresses the complexities of plagiarism and responding to student plagiarism."
Robert Yagelski,SUNY-Albany,NA,Plagiarism as an Educational Opportunity: ResearchBased Responding to Student Plagiarizing ,"This interactive, research-based workshop addresses the complexities of plagiarism and responding to student plagiarism."
Gerald Nelms,Wright State University,NA,Plagiarism as an Educational Opportunity: ResearchBased Responding to Student Plagiarizing ,"This interactive, research-based workshop addresses the complexities of plagiarism and responding to student plagiarism."
Carole Papper,Hofstra University,NA,Plagiarism as an Educational Opportunity: ResearchBased Responding to Student Plagiarizing ,"This interactive, research-based workshop addresses the complexities of plagiarism and responding to student plagiarism."
Scott Leonard,Youngstown State University,NA,Plagiarism as an Educational Opportunity: ResearchBased Responding to Student Plagiarizing ,"This interactive, research-based workshop addresses the complexities of plagiarism and responding to student plagiarism."
Valerie Seiling Jacobs,Columbia University NA,NA,Plagiarism as an Educational Opportunity: ResearchBased Responding to Student Plagiarizing ,"This interactive, research-based workshop addresses the complexities of plagiarism and responding to student plagiarism."
GRB Room 351B,Level Three,NA,Voices of Undergraduate Research: Frameworks for Learning through Action ,"Faculty, administrators, and students will discuss frameworks, engage in reflection, and access resources for supporting student research."
Angela Glotfelter,Miami University of Ohio,NA,Voices of Undergraduate Research: Frameworks for Learning through Action ,"Faculty, administrators, and students will discuss frameworks, engage in reflection, and access resources for supporting student research."
Brynn Kairis,Rutgers University-Camden,NA,Voices of Undergraduate Research: Frameworks for Learning through Action ,"Faculty, administrators, and students will discuss frameworks, engage in reflection, and access resources for supporting student research."
Jessie Moore,Elon University,NA,Voices of Undergraduate Research: Frameworks for Learning through Action ,"Faculty, administrators, and students will discuss frameworks, engage in reflection, and access resources for supporting student research."
Megan Schoettler,Miami University of Ohio NA,NA,Voices of Undergraduate Research: Frameworks for Learning through Action ,"Faculty, administrators, and students will discuss frameworks, engage in reflection, and access resources for supporting student research."
GRB Room 340B,Level Three,NA,Multimodal Research in the Writing Class Teaching Infographics to Help Students Construct Data-Driven Arguments ,The basics of infographic design and how to build them into your multimodal research assignments to enhance studentsâ€™ data-driven arguments.
Jamie S. Albert,University of Cincinnati Blue Ash College,NA,Multimodal Research in the Writing Class Teaching Infographics to Help Students Construct Data-Driven Arguments ,The basics of infographic design and how to build them into your multimodal research assignments to enhance studentsâ€™ data-driven arguments.
Sonja Andrus,University of Cincinnati Blue Ash College,NA,Multimodal Research in the Writing Class Teaching Infographics to Help Students Construct Data-Driven Arguments ,The basics of infographic design and how to build them into your multimodal research assignments to enhance studentsâ€™ data-driven arguments.
Robert Murdock,University of Cincinnati Blue Ash College NA,NA,Multimodal Research in the Writing Class Teaching Infographics to Help Students Construct Data-Driven Arguments ,The basics of infographic design and how to build them into your multimodal research assignments to enhance studentsâ€™ data-driven arguments.
Hilton Ballroom of the Americas Salon C,Level Two,NA,Repurposing Assessment: Valuing Student Actions via Course Contracts ,An opportunity to explore and begin designing course contracts with experienced teacher-scholars.
